framework	molecule	temperature_K	pressure_Pa	loading_mol_per_kg
Bhathia_01	R125	303.0	45.75887218	0.010027534
Bhathia_01	R125	303.0	47.11407793	0.010233227
Bhathia_01	R125	303.0	48.50941977	0.010443122
Bhathia_01	R125	303.0	49.94608639	0.010657303
Bhathia_01	R125	303.0	51.42530168	0.010875857
Bhathia_01	R125	303.0	52.94832576	0.011098873
Bhathia_01	R125	303.0	54.51645609	0.01132644
Bhathia_01	R125	303.0	56.13102854	0.011558651
Bhathia_01	R125	303.0	57.79341856	0.011795599
Bhathia_01	R125	303.0	59.50504232	0.01203738
Bhathia_01	R125	303.0	61.26735794	0.012284091
Bhathia_01	R125	303.0	63.08186673	0.012535832
Bhathia_01	R125	303.0	64.95011444	0.012792704
Bhathia_01	R125	303.0	66.87369262	0.01305481
Bhathia_01	R125	303.0	68.85423996	0.013322256
Bhathia_01	R125	303.0	70.89344366	0.013595149
Bhathia_01	R125	303.0	72.99304091	0.013873598
Bhathia_01	R125	303.0	75.15482033	0.014157715
Bhathia_01	R125	303.0	77.38062354	0.014447614
Bhathia_01	R125	303.0	79.67234666	0.01474341
Bhathia_01	R125	303.0	82.03194201	0.015045223
Bhathia_01	R125	303.0	84.4614197	0.015353173
Bhathia_01	R125	303.0	86.96284938	0.015667382
Bhathia_01	R125	303.0	89.53836201	0.015987975
Bhathia_01	R125	303.0	92.19015164	0.016315082
Bhathia_01	R125	303.0	94.9204773	0.016648831
Bhathia_01	R125	303.0	97.73166495	0.016989355
Bhathia_01	R125	303.0	100.6261094	0.01733679
Bhathia_01	R125	303.0	103.6062764	0.017691273
Bhathia_01	R125	303.0	106.6747048	0.018052945
Bhathia_01	R125	303.0	109.8340084	0.018421949
Bhathia_01	R125	303.0	113.0868788	0.01879843
Bhathia_01	R125	303.0	116.436087	0.019182538
Bhathia_01	R125	303.0	119.8844861	0.019574424
Bhathia_01	R125	303.0	123.4350138	0.019974243
Bhathia_01	R125	303.0	127.0906948	0.020382151
Bhathia_01	R125	303.0	130.8546433	0.020798309
Bhathia_01	R125	303.0	134.7300659	0.02122288
Bhathia_01	R125	303.0	138.7202638	0.021656031
Bhathia_01	R125	303.0	142.8286365	0.02209793
Bhathia_01	R125	303.0	147.0586837	0.022548752
Bhathia_01	R125	303.0	151.414009	0.023008671
Bhathia_01	R125	303.0	155.8983226	0.023477868
Bhathia_01	R125	303.0	160.5154448	0.023956523
Bhathia_01	R125	303.0	165.2693087	0.024444825
Bhathia_01	R125	303.0	170.1639642	0.024942961
Bhathia_01	R125	303.0	175.2035811	0.025451125
Bhathia_01	R125	303.0	180.3924524	0.025969513
Bhathia_01	R125	303.0	185.7349986	0.026498326
Bhathia_01	R125	303.0	191.2357709	0.027037767
Bhathia_01	R125	303.0	196.8994554	0.027588044
Bhathia_01	R125	303.0	202.7308769	0.028149368
