framework	molecule	temperature_K	pressure_Pa	mole_fraction
Bhathia_01	R125	303.0	5.761333873	0.40270806956934996
Bhathia_01	R125	303.0	5.93196292	0.4027040707831765
Bhathia_01	R125	303.0	6.107645358	0.40269540757053635
Bhathia_01	R125	303.0	6.28853085	0.4026951460501941
Bhathia_01	R125	303.0	6.474773489	0.40268393723202367
Bhathia_01	R125	303.0	6.666531936	0.40268102482679785
Bhathia_01	R125	303.0	6.863969546	0.40267388813690347
Bhathia_01	R125	303.0	7.067254516	0.4026687672260778
Bhathia_01	R125	303.0	7.276560023	0.4026655556087432
Bhathia_01	R125	303.0	7.492064371	0.4026585295659283
Bhathia_01	R125	303.0	7.713951149	0.40265349416580337
Bhathia_01	R125	303.0	7.942409378	0.40264497394410886
Bhathia_01	R125	303.0	8.177633681	0.40263847832207206
Bhathia_01	R125	303.0	8.419824443	0.4026340829461187
Bhathia_01	R125	303.0	8.669187986	0.40262654531837544
Bhathia_01	R125	303.0	8.925936739	0.4026210639148451
Bhathia_01	R125	303.0	9.190289424	0.4026126783424081
Bhathia_01	R125	303.0	9.462471242	0.40260642107520195
Bhathia_01	R125	303.0	9.742714062	0.4025975680534519
Bhathia_01	R125	303.0	10.03125662	0.4025908472527079
Bhathia_01	R125	303.0	10.32834473	0.40258178676305956
Bhathia_01	R125	303.0	10.63423146	0.4025749159314961
Bhathia_01	R125	303.0	10.94917742	0.40257028839087206
Bhathia_01	R125	303.0	11.27345088	0.40255907168635274
Bhathia_01	R125	303.0	11.60732811	0.4025502217066674
Bhathia_01	R125	303.0	11.95109353	0.4025436900413617
Bhathia_01	R125	303.0	12.30503998	0.4025353325530542
Bhathia_01	R125	303.0	12.669469	0.4025253255326228
Bhathia_01	R125	303.0	13.04469104	0.40251769008968163
Bhathia_01	R125	303.0	13.43102574	0.40250853586307017
Bhathia_01	R125	303.0	13.82880222	0.40249796230728063
Bhathia_01	R125	303.0	14.23835935	0.40248988909688
Bhathia_01	R125	303.0	14.66004602	0.40248056955182476
Bhathia_01	R125	303.0	15.09422146	0.4024701393887709
Bhathia_01	R125	303.0	15.54125555	0.40246218588289995
Bhathia_01	R125	303.0	16.0015291	0.4024499197855519
Bhathia_01	R125	303.0	16.47543423	0.40244018886847976
Bhathia_01	R125	303.0	16.96337465	0.4024306739877879
Bhathia_01	R125	303.0	17.46576602	0.4024200280740399
Bhathia_01	R125	303.0	17.98303634	0.40240923901030995
Bhathia_01	R125	303.0	18.51562626	0.4023982632564484
Bhathia_01	R125	303.0	19.0639895	0.40238703176469837
Bhathia_01	R125	303.0	19.62859319	0.4023756406757746
Bhathia_01	R125	303.0	20.20991832	0.40236406525536933
Bhathia_01	R125	303.0	20.80846011	0.40235225556754894
Bhathia_01	R125	303.0	21.42472846	0.40234023377836425
Bhathia_01	R125	303.0	22.05924836	0.4023280350171549
Bhathia_01	R125	303.0	22.71256036	0.40231558655381644
Bhathia_01	R125	303.0	23.385221	0.4023029378893377
Bhathia_01	R125	303.0	24.07780332	0.4022900720737642
Bhathia_01	R125	303.0	24.79089732	0.40227699914053
Bhathia_01	R125	303.0	25.52511049	0.4022637161017335
Bhathia_01	R125	303.0	26.28106829	0.4022501858571297
Bhathia_01	R125	303.0	27.05941472	0.4022364556637318
Bhathia_01	R125	303.0	27.86081284	0.4022224449625644
Bhathia_01	R125	303.0	28.68594536	0.40220823569437514
Bhathia_01	R125	303.0	29.53551521	0.4021938061570688
Bhathia_01	R125	303.0	30.41024612	0.40217912631755914
Bhathia_01	R125	303.0	31.31088327	0.40216416898614293
Bhathia_01	R125	303.0	32.23819391	0.40214897142937267
Bhathia_01	R125	303.0	33.192968	0.4021335788676175
Bhathia_01	R125	303.0	34.17601891	0.4021178860112874
Bhathia_01	R125	303.0	35.18818409	0.4021019315175194
Bhathia_01	R125	303.0	36.2303258	0.40208572345082655
Bhathia_01	R125	303.0	37.30333182	0.4020692703639562
Bhathia_01	R125	303.0	38.40811626	0.4020525532251205
Bhathia_01	R125	303.0	39.54562025	0.4020355734979056
Bhathia_01	R125	303.0	40.71681283	0.40201829828577446
Bhathia_01	R125	303.0	41.92269174	0.4020007411256972
Bhathia_01	R125	303.0	43.16428424	0.40198291488663684
Bhathia_01	R125	303.0	44.44264805	0.4019648085827904
Bhathia_01	R125	303.0	45.75887218	0.4019464121368766
Bhathia_01	R125	303.0	47.11407793	0.40192769405375445
Bhathia_01	R125	303.0	48.50941977	0.4019087266438743
Bhathia_01	R125	303.0	49.94608639	0.40188942619273144
Bhathia_01	R125	303.0	51.42530168	0.4018698426379532
Bhathia_01	R125	303.0	52.94832576	0.4018499356630855
Bhathia_01	R125	303.0	54.51645609	0.4018297122761268
Bhathia_01	R125	303.0	56.13102854	0.40180917968591123
Bhathia_01	R125	303.0	57.79341856	0.40178831855103314
Bhathia_01	R125	303.0	59.50504232	0.4017671455567398
Bhathia_01	R125	303.0	61.26735794	0.4017456313593174
Bhathia_01	R125	303.0	63.08186673	0.40172376929107495
Bhathia_01	R125	303.0	64.95011444	0.40170158612211215
Bhathia_01	R125	303.0	66.87369262	0.40167904592530596
Bhathia_01	R125	303.0	68.85423996	0.4016561712567258
Bhathia_01	R125	303.0	70.89344366	0.4016329427693953
Bhathia_01	R125	303.0	72.99304091	0.40160932070941646
Bhathia_01	R125	303.0	75.15482033	0.40158536659046
Bhathia_01	R125	303.0	77.38062354	0.4015610156552111
Bhathia_01	R125	303.0	79.67234666	0.40153629183335265
Bhathia_01	R125	303.0	82.03194201	0.40151119153491915
Bhathia_01	R125	303.0	84.4614197	0.4014857131351136
Bhathia_01	R125	303.0	86.96284938	0.4014598360591468
Bhathia_01	R125	303.0	89.53836201	0.40143353777567564
Bhathia_01	R125	303.0	92.19015164	0.40140686309039025
Bhathia_01	R125	303.0	94.9204773	0.40137976810867587
Bhathia_01	R125	303.0	97.73166495	0.4013522469787293
Bhathia_01	R125	303.0	100.6261094	0.401324309873899
Bhathia_01	R125	303.0	103.6062764	0.4012959451928613
Bhathia_01	R125	303.0	106.6747048	0.4012671438425399
Bhathia_01	R125	303.0	109.8340084	0.40123789049172254
Bhathia_01	R125	303.0	113.0868788	0.4012081899747969
Bhathia_01	R125	303.0	116.436087	0.4011780274293757
Bhathia_01	R125	303.0	119.8844861	0.40114741167667806
Bhathia_01	R125	303.0	123.4350138	0.40111632846509265
Bhathia_01	R125	303.0	127.0906948	0.4010847627193471
Bhathia_01	R125	303.0	130.8546433	0.40105270625469985
Bhathia_01	R125	303.0	134.7300659	0.40102016115081474
Bhathia_01	R125	303.0	138.7202638	0.40098712386194185
Bhathia_01	R125	303.0	142.8286365	0.40095356051083003
Bhathia_01	R125	303.0	147.0586837	0.40091949530136345
Bhathia_01	R125	303.0	151.414009	0.4008849004296668
Bhathia_01	R125	303.0	155.8983226	0.40084978309803754
Bhathia_01	R125	303.0	160.5154448	0.40081410869661965
Bhathia_01	R125	303.0	165.2693087	0.40077790326485085
Bhathia_01	R125	303.0	170.1639642	0.40074113528150523
Bhathia_01	R125	303.0	175.2035811	0.4007037999966497
Bhathia_01	R125	303.0	180.3924524	0.4006658830830091
Bhathia_01	R125	303.0	185.7349986	0.40062738886336385
Bhathia_01	R125	303.0	191.2357709	0.40058830005694185
Bhathia_01	R125	303.0	196.8994554	0.40054861192225494
Bhathia_01	R125	303.0	202.7308769	0.4005083140847894
Bhathia_01	R125	303.0	208.7350032	0.40046738838194595
Bhathia_01	R125	303.0	214.9169492	0.40042583436890916
Bhathia_01	R125	303.0	221.2819812	0.4003836328813233
Bhathia_01	R125	303.0	227.8355215	0.40034078209534185
Bhathia_01	R125	303.0	234.583153	0.400297275352282
Bhathia_01	R125	303.0	241.530624	0.40025309417840543
Bhathia_01	R125	303.0	248.6838529	0.4002082219526521
Bhathia_01	R125	303.0	256.0489336	0.4001626583407542
Bhathia_01	R125	303.0	263.6321403	0.40011639650519665
Bhathia_01	R125	303.0	271.4399331	0.4000694075492525
Bhathia_01	R125	303.0	279.4789633	0.4000216997895063
Bhathia_01	R125	303.0	287.7560794	0.3999732460240858
Bhathia_01	R125	303.0	296.2783325	0.39992403964668327
Bhathia_01	R125	303.0	305.0529827	0.39987407133614566
Bhathia_01	R125	303.0	314.0875051	0.39982331894272255
Bhathia_01	R125	303.0	323.3895961	0.3997717818324609
Bhathia_01	R125	303.0	332.96718	0.3997194446155928
Bhathia_01	R125	303.0	342.828416	0.39966628861301184
Bhathia_01	R125	303.0	352.9817046	0.3996123039290978
Bhathia_01	R125	303.0	363.4356955	0.3995574793010305
Bhathia_01	R125	303.0	374.1992944	0.39950179486195153
Bhathia_01	R125	303.0	385.2816705	0.3994452487342018
Bhathia_01	R125	303.0	396.692265	0.39938781067813
Bhathia_01	R125	303.0	408.4407983	0.39932948461400647
Bhathia_01	R125	303.0	420.5372791	0.3992702333048128
Bhathia_01	R125	303.0	432.9920121	0.3992100616528991
Bhathia_01	R125	303.0	445.8156075	0.3991489401735344
Bhathia_01	R125	303.0	459.0189896	0.39908686668488164
Bhathia_01	R125	303.0	472.6134062	0.39902381154854244
Bhathia_01	R125	303.0	486.6104383	0.39895977640159225
Bhathia_01	R125	303.0	501.0220099	0.39889472734016873
Bhathia_01	R125	303.0	515.860398	0.3988286582698228
