framework	molecule	temperature_K	pressure_Pa	loading_mol_per_kg
Bhathia_01	R125	283.0	127812.67721496821	4.940660081369245
Bhathia_01	R125	283.0	157740.69623151456	5.154274742305714
Bhathia_01	R125	283.0	194676.5202778257	5.34843144869679
Bhathia_01	R125	283.0	240261.06422060388	5.522516079079491
Bhathia_01	R125	283.0	296519.4718810281	5.676728590366178
Bhathia_01	R125	283.0	365951.085290597	5.811909923525869
Bhathia_01	R125	283.0	451640.4807273444	5.9293528778435425
Bhathia_01	R125	283.0	557394.5044312399	6.030624789219079
Bhathia_01	R125	283.0	687911.3959621136	6.117418609677758
Bhathia_01	R125	283.0	848989.5126924784	6.191438925564276
Bhathia_01	R125	283.0	1047784.9282518772	6.254322285353264
Bhathia_01	R125	283.0	1293129.349018775	6.30758713002974
Bhathia_01	R125	283.0	1595922.4724520412	6.352607004986143
Bhathia_01	R125	283.0	1969616.2182151948	6.390600723174182
Bhathia_01	R125	283.0	2430812.344597087	6.422633986470322
Bhathia_01	R125	283.0	3000000.000000001	6.449628119878061
Bhathia_01	R125	303.0	100.0	0.06635317140215549
Bhathia_01	R125	303.0	123.41553253454694	0.07678570263061746
Bhathia_01	R125	303.0	152.31393670785815	0.08882699867187485
Bhathia_01	R125	303.0	187.9790561123359	0.10271398230525447
Bhathia_01	R125	303.0	231.9953531544542	0.11871469458004374
Bhathia_01	R125	303.0	286.3183005509725	0.137131153826516
Bhathia_01	R125	303.0	353.36125536884737	0.1583020799890711
Bhathia_01	R125	303.0	436.10267508422373	0.182605332171142
Bhathia_01	R125	303.0	538.2184388525997	0.2104598716954661
Bhathia_01	R125	303.0	664.2451525090609	0.24232703060392327
Bhathia_01	R125	303.0	819.7816923039709	0.27871084305906807
Bhathia_01	R125	303.0	1011.7379411776668	0.32015719403535847
Bhathia_01	R125	303.0	1248.6417679584788	0.36725156810931897
Bhathia_01	R125	303.0	1541.0178873747384	0.4206152547387911
Bhathia_01	R125	303.0	1901.8554321561603	0.48089999770540176
Bhathia_01	R125	303.0	2347.1850096327344	0.5487812718033929
Bhathia_01	R125	303.0	2896.7908792092962	0.624950621788273
Bhathia_01	R125	303.0	3575.0898899883373	0.7101077746156002
Bhathia_01	R125	303.0	4412.216226317855	0.8049534664052813
Bhathia_01	R125	303.0	5445.360152285872	0.91018399276324
Bhathia_01	R125	303.0	6720.420230367625	1.0264882271969968
Bhathia_01	R125	303.0	8294.04241586763	1.1545470550049208
Bhathia_01	R125	303.0	10236.13661618424	1.2950336492100578
Bhathia_01	R125	303.0	12632.982515827533	1.4486106844695577
Bhathia_01	R125	303.0	15591.062646904755	1.615917604911441
Bhathia_01	R125	303.0	19241.792993472332	1.797538024769204
Bhathia_01	R125	303.0	23747.361292089023	1.993935446100353
Bhathia_01	R125	303.0	29307.932401534592	2.2053465758896693
Bhathia_01	R125	303.0	36170.54084821895	2.4316278090183365
Bhathia_01	R125	303.0	44640.065608455254	2.672063528965367
Bhathia_01	R125	303.0	55092.77469444619	2.925164168561209
Bhathia_01	R125	303.0	67993.04127720889	3.18850281581947
Bhathia_01	R125	303.0	83913.97397870166	3.4586522400182407
Bhathia_01	R125	303.0	103562.87785671582	3.731278264867855
Bhathia_01	R125	303.0	127812.67721496821	4.001413793272723
Bhathia_01	R125	303.0	157740.69623151456	4.263886022850956
Bhathia_01	R125	303.0	194676.5202778257	4.513816962902219
Bhathia_01	R125	303.0	240261.06422060388	4.747089009290937
Bhathia_01	R125	303.0	296519.4718810281	4.960677795081083
Bhathia_01	R125	303.0	365951.085290597	5.1527984403692635
Bhathia_01	R125	303.0	451640.4807273444	5.322866987354971
Bhathia_01	R125	303.0	557394.5044312399	5.471322543560808
Bhathia_01	R125	303.0	687911.3959621136	5.599374735840053
Bhathia_01	R125	303.0	848989.5126924784	5.708736820591563
Bhathia_01	R125	303.0	1047784.9282518772	5.801386987736817
Bhathia_01	R125	303.0	1293129.349018775	5.87937965898514
Bhathia_01	R125	303.0	1595922.4724520412	5.944711778018428
Bhathia_01	R125	303.0	1969616.2182151948	5.99923862096524
Bhathia_01	R125	303.0	2430812.344597087	6.044628923781881
Bhathia_01	R125	303.0	3000000.000000001	6.082348325995242
Bhathia_01	R125	333.0	100.0	0.017389863839959524
Bhathia_01	R125	333.0	123.41553253454694	0.02091716469065364
Bhathia_01	R125	333.0	152.31393670785815	0.025147179955513792
Bhathia_01	R125	333.0	187.9790561123359	0.03021428860307785
Bhathia_01	R125	333.0	231.9953531544542	0.03627615173600728
Bhathia_01	R125	333.0	286.3183005509725	0.043516736129784975
Bhathia_01	R125	333.0	353.36125536884737	0.052149313582604
Bhathia_01	R125	333.0	436.10267508422373	0.06241924094617301
Bhathia_01	R125	333.0	538.2184388525997	0.07460626057095515
Bhathia_01	R125	333.0	664.2451525090609	0.08902600124792454
Bhathia_01	R125	333.0	819.7816923039709	0.10603032458109822
Bhathia_01	R125	333.0	1011.7379411776668	0.12600617986477144
Bhathia_01	R125	333.0	1248.6417679584788	0.14937273930922057
Bhathia_01	R125	333.0	1541.0178873747384	0.17657682407397712
Bhathia_01	R125	333.0	1901.8554321561603	0.20808702604062657
Bhathia_01	R125	333.0	2347.1850096327344	0.2443874689069565
Bhathia_01	R125	333.0	2896.7908792092962	0.2859727560161129
Bhathia_01	R125	333.0	3575.0898899883373	0.33334615329375267
Bhathia_01	R125	333.0	4412.216226317855	0.3870232042987789
Bhathia_01	R125	333.0	5445.360152285872	0.4475424982771574
Bhathia_01	R125	333.0	6720.420230367625	0.5154840278801351
Bhathia_01	R125	333.0	8294.04241586763	0.5914935174989342
Bhathia_01	R125	333.0	10236.13661618424	0.6763086109928198
Bhathia_01	R125	333.0	12632.982515827533	0.7707804667968009
Bhathia_01	R125	333.0	15591.062646904755	0.8758827787581649
Bhathia_01	R125	333.0	19241.792993472332	0.9927000201411902
Bhathia_01	R125	333.0	23747.361292089023	1.1223879801110899
Bhathia_01	R125	333.0	29307.932401534592	1.2661023186439817
Bhathia_01	R125	333.0	36170.54084821895	1.4248946660966746
Bhathia_01	R125	333.0	44640.065608455254	1.5995805159669194
Bhathia_01	R125	333.0	55092.77469444619	1.7905885994564161
Bhathia_01	R125	333.0	67993.04127720889	1.9978072035723997
Bhathia_01	R125	333.0	83913.97397870166	2.2204481512720484
Bhathia_01	R125	333.0	103562.87785671582	2.4569524395693367
Bhathia_01	R125	333.0	127812.67721496821	2.704960970351255
Bhathia_01	R125	333.0	157740.69623151456	2.961367835889325
Bhathia_01	R125	333.0	194676.5202778257	3.222461924237842
Bhathia_01	R125	333.0	240261.06422060388	3.4841469215595993
Bhathia_01	R125	333.0	296519.4718810281	3.742213880280541
Bhathia_01	R125	333.0	365951.085290597	3.9926290916998357
Bhathia_01	R125	333.0	451640.4807273444	4.231796794454991
Bhathia_01	R125	333.0	557394.5044312399	4.456762360099511
Bhathia_01	R125	333.0	687911.3959621136	4.665334937797487
